city,t_d
Altamonte Springs,{'FAMILY FUN ': 'Visit the area’s kid-friendly parks and attractions. Urban Air Adventure Park Congo River Golf Orlando Ice Den Wekiwa Springs State Park Theme parks More attractions'}
Altamonte Springs,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Discover Orlando North’s art and culture scene. Art, culture, and history Nightlife and entertainment Events'}"
Altamonte Springs,{'OUTDOOR ADVENTURES ': 'Explore the parks and hit the trails. Birding Wildlife Biking Camping Fishing Hiking Paddling City parks and trails More outdoors and nature'}
Altamonte Springs,{'WATERWAYS ': 'Fish and paddle the waterways. Lake Orienta Little Wekiva River Cranes Roost Lake'}
Altamonte Springs,{'BEACHES ': 'Take a trip to east coast beaches. New Smyrna Beach Daytona Beach More beaches'}
Altamonte Springs,{'ACCESSIBILITY ': 'Check out the area’s accessible attractions. Wheelchair-accessible itinerary Special needs services and resources guide'}
Altamonte Springs,{'DINING ': 'Choose from a variety or restaurants uptown and at the Altamonte Mall. Altamonte Mall restaurants More places to eat and drink'}
Altamonte Springs,{'SHOPPING ': 'Find plenty of places to shop at the Altamonte Mall and beyond. Uptown Altamonte Altamonte Mall Antiquing in Seminole County More places to shop'}
Altamonte Springs,{'PLACES TO STAY ': 'Book a hotel stay in Altamonte Springs. Embassy Suites by Hilton Orlando North Hampton Inn & Suites Orlando-North/Altamonte Springs Hilton Orlando/Altamonte Springs More places to stay'}
Apopka,{'WATERWAYS ': 'Explore the area’s waterways. Rock Springs Wekiva River Wekiwa Springs Lake Apopka'}
Apopka,{'FAMILY FUN ': 'Tube in the spring and visit the parks and playgrounds. Apopka Splash Pad Kelly Park tubing City parks and playgrounds'}
Apopka,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Attend local events, see the museum, and explore the arts and culture scene in nearby Orlando. The Apopka Museum Apopka Art & Foliage Festival More events Orlando arts and culture'}"
Apopka,"{'OUTDOOR ADVENTURES ': 'Bike, hike, tube, paddle, and swim at some of Central Florida’s most scenic parks and trails. Wekiwa Springs State Park King’s Landing Kelly Park West Orange Trail Lake Apopka Loop Trail Lake Apopka Wildlife Drive Paddleboard and kayak rentals'}"
Apopka,{'ACCESSIBILITY ': 'Check out the area’s accessible parks and attractions. Wekiwa Springs State Park Wheelchair-accessible trails Accessible travel information'}
Apopka,{'DINING ': 'Visit some of Apopka’s favorite local restaurants or venture into Orlando for endless dining options. The Nauti Lobstah Garibaldi Mexican Restaurant Eggs Up Grill More Apopka restaurants Places to eat and drink in Orlando'}
Apopka,{'SHOPPING ': 'Find retail therapy at Apopka’s stores and shops. Shopping and specialty retail Home and garden Places to shop in Orlando'}
Apopka,"{'SPORTS ': 'Tee off on a local golf course, play a game of football or baseball, or hit the tennis courts. Forest Lake Golf Club Wekiva Golf Club Northwest Recreation Complex Tennis'}"
Apopka,{'PET': '-'}
Apopka,{'FRIENDLY ADVENTURES ': 'Explore dog-friendly parks and trails. Doctors’ Dog Park West Orange Trail Wekiwa Springs State Park Pet-friendly places to stay'}
Apopka,{'PLACES TO STAY ': 'Choose from a wide variety of accommodations in Apopka and the surrounding areas. Condos and vacation rentals Hotels and resorts Campgrounds and'}
Apopka,{'RV ': 'parks A day at Wekiva Springs State Park'}
Apopka,{'A ': 'day at Wekiva Springs State Park'}
Bartow,{'WATERWAYS ': 'The famed Peace River begins in Bartow. Peace River Lake Hancock'}
Bartow,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Visit the museums and check out local events. L.B. Brown House and Museum African American Heritage Museum Polk County History Center Bartow Airbase History Museum Wonder House L.B. Brown Festival Downtown events More events'}"
Bartow,{'OUTDOOR ADVENTURES ': 'Explore the parks and trails. Fishing and boating Mosaic Peace River Park Polk’s Nature Discovery Center Circle B Bar Reserve Fort Fraser Trail Panther Point Trail Bartow Peace River Landing City parks County parks'}
Bartow,"{'B ': 'Bar Reserve can be found just 10 miles north of town, and Mosaic Peace River Park is about seven miles south of town. While in the area, families of all ages will want to check out nearby attractions including'}"
Bartow,{'FAMILY FUN ': 'Find family-friendly entertainment and attractions in Bartow and the surrounding areas. City parks and playgrounds 555 Triple Nickel Raceway Central Florida kid-friendly attractions Spring break ideas'}
Bartow,{'ACCESSIBILITY ': 'Check out accessible attractions and parks. Fort Fraser Trail Central Florida accessible attractions'}
Bartow,{'DINING ': 'Find an array of dining options downtown. Restaurants Bakeries More places to eat and drink'}
Bartow,"{'SHOPPING ': 'Shop for gifts, collectibles, books, and more. Bartow Antiques & Collectibles Market Gift boutiques Apparel Books and collectibles More retail stores'}"
